ID	141966	IDNIC-INSTANET-AS-ID PT Instanet Media Nusantara
ID	149360	IDNIC-INTELMEDIA-AS-ID PT Indo Telemedia Solusi
ID	136878	IDNIC-ISN-AS-ID PT. InfoMedia Solusi Net
ID	142347	IDNIC-JAGONET-AS-ID PT Sarana Media Cemerlang
ID	140452	IDNIC-JME-AS-ID PT Jaya Media Expres
ID	141622	IDNIC-JMG-AS-ID PT Java Media Grup
ID	142322	IDNIC-KAF-AS-ID PT Kaf Media Nusantara
ID	141653	IDNIC-KAFILAH-AS-ID PT Kafilah Intermedia Nusantara
ID	142340	IDNIC-LAMDA-AS-ID PT Lancar Artha Media Data
ID	59285	IDNIC-LATANSA-AS-ID PT Latansa Teknologi Multimedia
ID	141620	IDNIC-LINKMEDIA-AS-ID CV Linkmedia Nusantara
ID	142381	IDNIC-MACTEL-AS-ID PT Media Access Telematika
ID	147132	IDNIC-MAFIANET-AS-ID PT Mafianet Akses Media
ID	141673	IDNIC-MAMURA-AS-ID PT Mamura Inter Media
ID	135451	IDNIC-MASNETWORK-AS-ID PT Media Alvina Sejati
ID	136870	IDNIC-MCOM-AS-ID PT Global Mediacom Tbk
ID	142393	IDNIC-MEDIASOLUSISUKSES-AS-ID PT Media Solusi Sukses
ID	147112	IDNIC-MEETAZA-AS-ID PT Meetaza Prawira Media
ID	141627	IDNIC-MESIN-AS-ID PT Media Solusi Network
ID	45734	IDNIC-METROTV-AS-ID PT Media Televisi Indonesia
ID	38760	IDNIC-MSA-AS-ID PT Media Sarana Akses
ID	58551	IDNIC-MTN-AS-ID PT. Mediatama Telematika Nusantara
ID	63503	IDNIC-NADYNE-AS-ID PT. Nadyne Media Tama
ID	135488	IDNIC-OTHMARNETWORK-AS-ID PT OTHMAR MATRA MEDIA
ID	149359	IDNIC-PDM-AS-ID PT Persada Data Multimedia
ID	149333	IDNIC-PRIMADONA-AS-ID PT Primadona Media Digitalindo
ID	58820	IDNIC-PTAMI-AS-ID APIK Media Networks
ID	136845	IDNIC-PTAMI-AS-ID PT Apik Media Inovasi
ID	147128	IDNIC-PTEDM-AS-ID PT Era Digital Media
ID	141123	IDNIC-PUSKOMEDIANET-AS-ID PT Puskomedia Indonesia Kreatif
ID	141983	IDNIC-RAJEGNET-AS-ID PT Rajeg Media Telekomunikasi
ID	149680	IDNIC-RESTUMEDIA-AS-ID CV Restu Media
ID	141642	IDNIC-RINGNET-AS-ID PT Ring Media Nusantara
ID	141934	IDNIC-SBM-AS-ID PT Sanders Bersaudara Media
ID	141889	IDNIC-SIMTEL-AS-ID PT Solusi Media Telekomunikasi
ID	139430	IDNIC-SINDO-ID PT. Media Nusantara Dinamis
ID	141147	IDNIC-SKNET-AS-ID PT Arkananta Global Media
ID	147135	IDNIC-SLM-AS-ID PT Swajasa Lintas Media
ID	141606	IDNIC-SMN-AS-ID PT Sembilan Mediadata Nusaraya
ID	142362	IDNIC-SUKMA-AS-ID PT Sukma Sejati Media
ID	141092	IDNIC-TEKLINGMEDIA-AS-ID PT Tekling Media Interkoneksi
ID	147142	IDNIC-TELENUSA-AS-ID PT Sarana Telemedia Nusantara
ID	142325	IDNIC-TERALINK-AS-ID PT. Teralink Djava Multimedia
ID	131735	IDNIC-TNC-ID PT Telemedia Network Cakrawala
ID	141082	IDNIC-TRIKANET-AS-ID PT Trika Global Media
ID	139405	IDNIC-TRIPLE-AS-ID PT.MEDIA CIPTA TRIMETIKA
ID	147122	IDNIC-ULIZNET-AS-ID PT Uliz Netmedia Solusindo
ID	142319	IDNIC-VIBERLINK-AS-ID PT Telemedia Komunikasi Pratama
ID	141120	IDNIC-WARNAHOST-AS-ID PT Warna Data Multimedia
ID	139995	IDNIC-WIDEHOSTMEDIA-AS-ID PT. Akashia Thuba Jaya
ID	58558	IDNIC-WIJAYASOLUSINDO-AS-ID PT Jagat Media Teknologi
ID	135464	IDNIC-WINETMEDIA-AS-ID Winet Media Persada
US	17157	IHEARTMEDIA-AS-17157
IE	43192	IMEDIA-AS
RO	57098	IMEDIA-AS Pierre de Coubertin 3-5 office building, etaj 5
ID	45711	IMEDIABIZ-AS-ID Imediabiz Indonesia
ID	140457	IMEDIANET-AS-ID PT Ikhlas Cipta Teknologi
ID	138854	IMSNET-AS-ID PT INTER MEDIALINK SOLUSI
NL	207866	INCOMPANYMEDIA
US	33754	INDIANA-NEWSPAPERS-INC
IN	55705	INDIATIMES-IN I World Tower, DLF CITY
ID	132663	INDOMEDIANET-AS-ID PT Indonesia Media Komunikasi Masyarakat
ID	55698	INFOMEDIA-AS-ID Infomedia Nusantara PT.
ID	139984	INMEET-AS-ID PT Indomedia Solusi net
UA	43864	INTEGRA-MEDIA-AS
ID	140008	INTEKNET-AS-ID PT Inti Media Teknologi
US	18707	INTELEMEDIA
AR	267791	INTERMEDIA BUSINESS SOLUTIONS S.R.L.
AU	135160	INTERMEDIA-AS-AP INTERMEDIA.NET AUSTRALIA PTY. LTD.
IN	134055	INTERMEDIACABLE-AS Intermedia Cable Communication Pvt Ltd
ID	24209	INTERMEDIANET-AS-ID PT. Inter Media Lintas Nusa
PY	266858	INTERNET & MEDIA S.A.
BG	29210	INTERNEWS-
DE	8560	IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.
ID	141056	IOSYS-AS-ID PT IOSYS Media Data
PL	200142	IPMEDIA-AS
RU	51607	IPMEDIA-SOCHI
ID	55667	IPTELECOM-AS-ID PT IP Telecom Multimedia Indonesia
IR	29079	IRNA-AS IRAN News Agency.
US	18530	ISOMEDIA-1
RU	208541	IT-MEDIA
DE	49735	ITSMEDIA
IN	142454	ITSMEDIA-AS-IN IT SPECTRUM MEDIA PVT LTD
PL	50411	ITVMEDIA
JP	18290	IWAMI Mimedia Corporation
BR	270568	Imediata Telecomunicacoes
NG	328564	Informacial-Media-International-AS
ID	136879	JARINDO-AS-ID PT. Media Jaringan Indonesia
ID	138087	JAVAMEDIA-AS-ID PT JAVA MEDIANET TEKHNOLOGI
KR	45361	JCN-AS-KR Ulsan Jung-Ang Broadcasting Network
US	32140	JEWELRY-TELEVISION
ID	55685	JLM-AS-ID PT Jala Lintas Media
ID	133840	JLMNET-AS-ID PT Jala Lintas Media
ID	134658	JNETWORK-AS-ID PT JULIA MULTIMEDIA NUSANTARA
ID	63508	JOGJARINGAN-AS-ID PT DINAMIKA MEDIAKOM
DO	269908	JOSE DIGITAL MEDIA DOMINICANA SRL
ES	204717	JOYMEDIA
PL	198263	K2MEDIA-AS
PH	132021	KALIBOCABLE-PH Kalibo Cable Television Network Inc
ID	132164	KASKUSNETWORKS-AS PT Darta Media Indonesia
JP	37908	KBC KIBI Cable Television Co.,Ltd.
KR	7558	KBS-AS Korean Broadcasting System KBS
KR	38673	KCTVNET-AS-KR Korea Cable TV Kwangju Broadcasting
ID	137343	KHAMSANET-AS-ID PT. KHAZANAH MEDIA NETWORK NUSANTARA
RO	38947	KNETWORKMEDIA
ID	55825	KOMPAS-ID Gedung Kompas Gramedia Unit II Lantai 5
UA	39851	KP-MEDIA
NL	212839	KVLMEDIA
RU	39294	LADA-MEDIA-AS
JP	131954	LCNET Kawaguchiko cable television Inc
US	62750	LIBERTYMEDIA
GB	30930	LIFESCI-AS Scientific publishing
GB	207925	LINEOUT-MEDIA
BR	53186	LINSAT - SISTEMAS DE TELEVISAO E DADOS SC LTDA
ID	46062	LINTASBUANA-AS-ID PT. BUANA LINTAS MEDIA
ID	139449	LINTASDATA-AS-ID PT Lintas Data Multimedia
ID	138093	LINTASMAYA-AS-ID PT. LINTASMAYA MULTI MEDIA
ID	138100	M2N-AS-ID PT. Mahameru Media Nusantara
US	395060	MACMILLAN-PUBLISHERS
KR	9492	MAEKYUNG-AS Maeil Business Newspaper
PL	199151	MAGISMEDIANET-AS
IN	134042	MAHAMEDIACOMLLP-AS-IN MAHA Mediacom LLP
AU	17659	MAINT-AU-SPEEDCASTAUSTRALIA NewSat Ltd
AT	44765	MAKENEWMEDIA-AS
AU	133159	MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd
ID	140437	MANAKARRANET-AS-ID PT MEDIA MANAKARRA NET
JP	63782	MAOTV Omaezaki Cable Television Co.Ltd
PH	138969	MARBEL1-AS-AP Marbel Services & Television System, Inc.
CL	271867	MARIO BENAVIDES SERVICIO DE TELEVISION POR CABLE E.I.R.L CABLEVISION DEL SUR
BG	44598	MAXMEDIA-AS
ID	38517	MAXMEDIA-AS-ID PT.Bangsawan Cyberindo
IN	133597	MAXTECH-AS Max tech media and communications pvt ltd
KR	10174	MBC-AS-KR Munhwa Broadcasting Corporation
MY	135551	MCAMC-AS-AP Malaysian Communication and Multimedia Commission
JP	131923	MCAT Mihara Cable Television Ltd.
JP	17939	MCN-NET01 miyazaki cabletelevision network Co.,LTD
PH	142581	MCT-AS-AP Mambulao Cable Television
PH	139752	MCTI-AS-AP Multinetwork Cable Television, Inc
PL	50239	MDI-MEDIA
ID	139971	MDLNET-AS-ID PT. Medialink Intercontinental
BD	134201	MDM-AS-AP Metaphor Digital Media
PL	196792	MEDIA
JP	17699	MEDIA ARTERIA Networks Corporation
EC	269805	MEDIA COMMERCE MEDCOMM S.A
PE	263185	MEDIA COMMERCE PERU S.A.C
PE	265668	MEDIA COMMERCE PERU S.A.C
US	53962	MEDIA-ARTS-LAB
NZ	45359	MEDIA-AS-AP MediaWorks Holdings Limited
PL	34169	MEDIA-COM-TYCHY
CA	14442	MEDIA-HOSTS
UA	59492	MEDIA-IT-27-AS
US	14913	MEDIA-NEWS-GROUP
RU	33797	MEDIA-PLUS-LLC
RU	42001	MEDIA-SOYOUZ-AS
RU	48949	MEDIA-TV-AS
IT	49289	MEDIA-VENETO Media Veneto s.r.l.
BG	62372	MEDIA-VISION-AS
US	1422	MEDIA6-ASN
ID	18351	MEDIAAKSES-AS PT Media Akses Global Indo, Internet Provider Jakarta
UZ	61019	MEDIABAY-ASIA-AS
VG	58143	MEDIABRIDGE-AS ****************************************************
NL	41038	MEDIACASTER-AS
